JOIN_SN,JOIN_SN_TYP,BTH_YR,GENDER,IS_KRN
127262,1,1942,2,1
299041,1,1977,2,1
438754,1,1942,2,1
968323,1,1999,2,1
1203506,1,1957,2,1
1851302,1,1984,2,1
242060,1,1953,1,1
653168,1,2004,2,1
1521595,1,1947,1,1
346277,1,1985,2,1
1181218,1,1986,1,1
1420122,1,1961,2,1
627096,1,1973,2,1
486087,1,1935,2,1
1502647,1,2010,1,1
1201839,1,1935,1,1
319655,1,2003,2,1
798068,1,1983,2,1
1729118,1,1962,1,1
1258888,1,1970,2,1
500323,1,1970,2,1
969966,1,1951,1,1
36676,1,1935,1,1
1294817,1,1958,2,1
301081,1,2009,1,1
614596,1,1960,2,1
1839360,1,1996,2,1
1858921,1,1955,1,1
1622828,3,0000,0,0
1958898,1,1989,2,1
1566726,1,1988,2,1
478929,1,2010,1,1
681098,3,0000,0,0
1570006,1,1974,1,1
131933,1,1994,2,1
1287363,1,1974,2,1
1521074,1,1975,1,1
1793186,1,1957,2,1
264913,1,1972,1,1
301143,1,1954,1,1
1718337,1,2010,2,1
700464,1,1946,2,1
1419158,1,2002,2,1
1764408,1,1960,1,1
1774595,1,1997,2,1
1670686,1,2010,2,1
1772921,1,1957,2,1
19529,1,1967,2,1
1774564,1,1975,2,1
1417646,1,2010,2,1
91113,1,1981,2,1
293384,1,2010,1,1
679722,1,2006,2,1
1919080,1,1935,2,1
197727,1,1975,2,1
1319860,1,1935,2,1
1361917,1,1979,1,1
1830553,1,1990,1,1
380229,1,1966,1,1
754206,1,1996,2,1
1346605,1,1972,2,1
597412,1,1957,1,1
1214533,1,2005,1,1
1469227,1,1955,2,1
431660,1,2010,2,1
649221,1,2010,1,1
670729,1,1998,1,1
360524,1,1939,2,1
1399545,1,1956,1,1
620901,1,2004,2,1
1732465,1,1980,2,1
254981,1,1935,2,1
1472179,1,1999,1,1
798833,1,2010,2,1
1886704,1,1985,1,1
1837305,1,1951,1,1
883692,1,1999,2,1
1363112,1,1968,2,1
1388468,1,2009,2,1
1929454,1,1948,1,1
1180161,1,1988,2,1
38380,1,1961,2,1
390320,1,1972,1,1
1943003,1,1935,2,1
1516738,1,1951,2,1
110159,1,1971,2,1
267338,1,1965,2,1
62921,1,2002,1,1
98680,1,2010,2,1
140140,1,2005,2,1
1657742,1,1971,1,1
1067923,1,1970,1,1
1248390,1,1987,1,1
925618,1,1962,1,1
1765888,1,1970,2,1
1516528,1,1985,2,1
818218,1,2010,2,1
152910,1,2010,2,1
1331689,1,1952,1,1
1740001,1,1979,1,1
1373056,1,2009,2,1
1739939,1,1959,1,1
510543,1,1997,2,1
96780,1,1979,1,1
1408233,1,1990,2,1
712599,3,0000,0,0
1547825,1,1959,1,1
1421112,1,1971,2,1
1081637,1,2004,2,1
1605430,1,1970,2,1
1639062,1,1968,2,1
1127092,1,1986,1,1
1430418,1,1966,2,1
1860416,1,1968,1,1
1854990,1,1977,1,1
449673,1,1994,1,1
341346,1,1953,1,1
1687094,1,1951,2,1
595269,1,1938,2,1
601432,1,2006,2,1
235744,1,1959,2,1
1816866,1,1941,1,1
1935224,1,1951,1,1
1647223,1,1996,2,1
430144,1,1959,1,1
879626,1,2005,2,1
240762,1,1974,1,1
468207,1,1993,2,1
1277551,1,1983,1,1
405901,1,1991,1,1
1079871,1,1981,1,1
1764113,1,1995,2,1
1596056,1,1993,1,1
492284,1,1944,2,1
1256490,1,1942,1,1
530159,1,1967,2,1
1415045,1,1961,2,1
1190383,1,1979,2,1
1018370,1,2010,2,1
1952073,1,1985,2,1
1412776,1,1988,1,1
285814,1,1953,2,1
1920442,1,1986,1,1
1281030,1,1992,2,1
1473330,1,1978,1,1
737695,1,2010,1,1
895203,1,1951,1,1
35660,1,1997,2,1
1157395,1,1997,1,1
418140,1,1961,1,1
197673,1,1946,2,1
1648421,1,2010,1,1
830029,1,1967,1,1
847745,1,1935,1,1
1864432,1,1993,1,1
760439,1,1953,1,1
831573,1,1965,2,1
1411574,1,1993,1,1
819972,1,1981,1,1
1167468,1,1972,2,1
918652,1,1949,1,1
1767161,1,1984,2,1
1909055,1,1967,2,1
1549187,1,2010,1,1
1382858,1,2005,1,1
1481027,1,1944,2,1
1685850,1,1986,1,1
790896,1,1975,2,1
375872,1,1983,2,1
1201690,1,1985,1,1
585484,1,1997,2,1
240719,1,1972,1,1
1738888,1,1993,2,1
1496289,1,1958,1,1
1114316,1,1996,2,1
1305314,1,1990,1,1
307604,1,1990,1,1
1534545,1,2000,1,1
1959218,1,2009,1,1
1262319,1,1969,2,1
1542422,1,1971,2,1
321418,1,1997,1,1
403855,1,1957,1,1
1047572,1,2010,2,1
403951,1,1965,1,1
859598,1,1995,1,1
1056100,1,1949,1,1
412335,1,1972,1,1
366302,1,2010,1,1
828273,1,2010,2,1
1396001,1,1937,1,1
522966,1,1958,1,1
1833738,1,1971,1,1
657634,1,1977,1,1
90267,1,1979,2,1
791194,1,1950,2,1
1558583,1,1972,2,1
558457,1,2000,2,1
1896585,1,1974,2,1
119739,1,1978,2,1
1891294,1,1992,1,1
1720085,1,1953,1,1
846673,1,1975,1,1
1947943,1,1967,1,1
566425,1,1949,1,1
403750,1,1961,1,1
1540699,1,1996,1,1
1572055,1,1964,1,1
1134846,1,1935,1,1
1878560,1,1999,1,1
953541,1,1960,2,1
1396475,1,1992,2,1
1175536,1,1997,2,1
1249270,1,1968,1,1
158563,1,1971,1,1
1952786,1,1964,2,1
1028026,1,1950,1,1
300435,1,1953,2,1
211265,1,1960,2,1
901464,1,1941,1,1
1213188,1,1999,2,1
652231,1,1972,2,1
672034,1,1998,2,1
36800,1,1982,2,1
1218051,1,1995,1,1
1317781,1,1957,1,1
559408,1,2010,1,1
922174,1,1950,1,1
971051,1,2010,2,1
445588,1,1986,1,1
1824504,1,1971,2,1
1398252,1,1946,2,1
233758,1,1992,2,1
675848,1,1978,1,1
1732214,1,1953,2,1
1277602,1,2005,1,1
359867,1,1983,2,1
1794487,1,1971,2,1
812410,1,1946,1,1
139898,1,1954,1,1
653247,1,1958,1,1
834282,1,2010,2,1
510166,1,1944,2,1
1097615,1,1995,1,1
660490,1,1990,2,1
447812,1,1988,1,1
1206455,1,1948,1,1
98827,1,1963,1,1
438076,1,1980,2,1
1810850,1,1980,1,1
1900326,1,1994,1,1
1332065,1,1970,2,1
904477,1,2010,2,1
301590,1,1972,1,1
1645156,1,1961,1,1
829710,1,1996,2,1
1703832,1,1966,2,1
1029096,1,1963,1,1
101705,1,1945,1,1
37992,1,1995,2,1
1366214,1,1971,1,1
1721120,1,1947,2,1
1571599,1,1986,1,1
1636851,1,1983,2,1
1899022,1,1961,2,1
815620,1,2010,2,1
885383,1,1971,2,1
335437,1,1948,2,1
667162,1,1981,1,1
1245209,1,1984,1,1
871908,1,1995,1,1
1654972,1,1975,2,1
1288221,1,1964,2,1
910082,1,1967,2,1
1306181,1,1954,2,1
1587733,1,1964,2,1
1923586,1,1965,1,1
962411,1,1955,2,1
401397,1,1984,1,1
332788,1,1989,2,1
1950773,1,2010,2,1
1399783,1,2010,2,1
522302,1,1951,2,1
1208780,1,1978,2,1
1670517,1,1990,1,1
1438658,1,1970,1,1
1048496,1,1935,2,1
1688677,1,1978,1,1
1076182,1,1961,1,1
480142,3,0000,0,0
170381,1,1985,1,1
738587,1,2010,1,1
1192839,1,1975,1,1
1940094,1,1996,1,1
1566509,3,0000,0,0
1833382,1,2004,2,1
962982,1,1951,2,1
1317078,1,1993,1,1
1086408,1,1954,1,1
1625194,1,1970,2,1
990791,1,1954,2,1
1470222,3,0000,0,0
1581480,1,1986,2,1
1119828,1,1951,1,1
98691,1,1999,1,1
847777,1,1956,2,1
384976,1,1961,2,1
40600,1,2007,2,1
827164,1,2010,2,1
335501,1,1987,2,1
1411974,1,1953,1,1
1910367,1,1992,2,1
609326,1,1950,1,1
1291101,1,1960,1,1
204674,1,2007,1,1
1010075,1,2010,1,1
1399956,1,1971,2,1
740233,1,1990,2,1
470020,1,1974,2,1
327451,1,1991,1,1
1435009,1,1990,1,1
937790,1,1999,1,1
1794131,1,1978,1,1
131320,1,1969,1,1
335552,1,2010,1,1
135895,1,1966,2,1
1355399,1,1967,2,1
1733198,1,1964,1,1
1212024,1,1935,1,1
1506488,1,1973,1,1
1549289,1,1988,1,1
446835,1,1974,2,1
1321025,1,1983,1,1
891383,1,2003,1,1
605865,1,1991,2,1
694542,1,1957,2,1
772517,1,1993,2,1
788472,1,1981,2,1
743651,3,0000,0,0
1202709,1,1996,1,1
1323506,1,1975,1,1
258029,1,1946,1,1
1819616,1,1952,2,1
919805,1,1984,1,1
1909501,1,1995,2,1
963108,1,1997,1,1
765776,1,1961,2,1
1206457,1,1993,2,1
870441,1,1988,1,1
1061960,1,1943,1,1
1916266,1,1978,2,1
107178,1,1967,2,1
884578,1,1958,2,1
1285232,1,1959,2,1
1039402,1,1958,2,1
1212045,1,1967,1,1
1607617,1,1970,2,1
644366,1,1997,2,1
606574,1,2010,2,1
733085,1,2010,2,1
389537,1,2010,2,1
1190262,1,1996,1,1
1300149,1,1975,1,1
445752,1,1975,2,1
1490682,1,1987,2,1
814312,1,1949,1,1
927583,1,1954,2,1
1241763,1,2010,2,1
258578,1,1970,1,1
293252,1,1961,1,1
1926094,1,2002,2,1
167575,1,1993,2,1
1641249,1,1994,2,1
954965,1,1966,2,1
504700,1,1967,2,1
961755,1,1975,1,1
889052,1,1998,1,1
1127191,1,2005,1,1
467877,1,1995,2,1
731794,1,1992,2,1
465657,1,1961,2,1
160898,1,2010,1,1
562909,1,1960,1,1
625800,1,1947,1,1
319576,1,1986,1,1
159042,1,2010,1,1
379551,1,1980,1,1
1460595,1,1986,1,1
125681,1,1971,2,1
398501,1,1984,1,1
1253282,1,1997,2,1
805727,1,2007,2,1
1931960,1,1967,1,1
1217015,1,1959,1,1
943207,1,1943,2,1
1026327,1,1990,2,1
1187316,1,1990,1,1
1540715,1,1972,2,1
281518,1,1977,1,1
1142583,1,1960,1,1
1348026,1,1989,2,1
1423564,3,0000,0,0
919835,1,1961,1,1
1330481,1,1973,1,1
828181,1,1998,1,1
1684739,1,1957,2,1
491564,1,1975,2,1
49178,1,1980,1,1
618931,3,0000,0,0
747889,1,1977,2,1
546048,1,1961,1,1
1111623,1,1981,2,1
269892,1,1986,2,1
1274505,1,2010,1,1
1000328,1,1988,2,1
1856948,1,1951,1,1
279780,1,1959,1,1
1770505,1,2008,2,1
1018811,1,1967,2,1
1583166,1,1964,2,1
728022,1,1953,2,1
1428238,1,1936,1,1
1813336,1,1975,1,1
1493276,1,1997,1,1
1897420,1,1956,2,1
1158908,1,2010,2,1
829242,1,2010,1,1
1061892,1,1991,1,1
458235,1,1954,1,1
954020,1,1936,2,1
993487,1,1966,2,1
321570,1,1980,2,1
815197,1,2010,1,1
454130,1,1965,2,1
1744432,1,1983,2,1
517827,1,2010,1,1
834935,1,2000,1,1
616561,1,1975,1,1
77554,1,1958,2,1
790238,1,1988,1,1
1570470,1,1968,2,1
1162021,1,1989,2,1
80995,1,1978,2,1
53299,1,1964,2,1
1901742,1,1952,2,1
266172,1,2001,1,1
143933,1,1994,2,1
167108,1,2006,2,1
523366,1,1982,1,1
486043,1,1979,1,1
1355474,1,2009,2,1
426949,1,1973,1,1
396565,1,1992,1,1
927325,1,1966,1,1
813970,1,1996,1,1
1003744,1,2010,2,1
1712692,1,1947,2,1
119365,1,1990,2,1
1174342,1,2002,2,1
397010,1,1967,1,1
1190068,1,1980,1,1
1595729,1,2010,2,1
1398527,1,1985,1,1
519810,1,1997,1,1
1393992,1,1960,2,1
1857538,1,1997,2,1
369921,1,1984,2,1
1460115,1,1948,1,1
1812458,3,0000,0,0
460139,1,1966,1,1
201769,1,1948,1,1
1678162,1,2010,1,1
643077,1,1969,1,1
1066601,1,1965,2,1
1658197,1,2010,2,1
220796,1,2000,1,1
790312,1,1966,1,1
1816228,1,1992,1,1
1300122,1,1987,2,1
1615436,1,1948,2,1
1642787,1,1969,2,1
1562673,1,1944,1,1
1716002,1,1938,1,1
160077,1,1997,1,1
1322711,1,1983,2,1
1390653,1,1995,1,1
667058,1,2010,1,1
384960,1,1969,2,1
877882,1,1949,2,1
124393,1,1990,1,1
113679,1,2007,1,1
691273,1,1970,1,1
1153615,1,2004,2,1
1074149,1,2010,1,1
1365960,1,1981,2,1
1466520,1,2002,1,1
475305,1,1983,2,1
1770709,1,1992,1,1
244268,1,2007,1,1
1248112,1,1998,1,1
1828469,1,1999,1,1
215734,1,2010,2,1
1640228,1,1952,1,1
202486,1,1956,1,1
723642,1,1941,1,1
1861768,1,1959,2,1
1195812,1,1961,2,1
472474,1,1990,1,1
614323,1,1988,2,1
823154,1,1985,2,1
1461670,1,1948,1,1
684500,1,1971,1,1
683738,1,1978,2,1
1519896,1,1954,1,1
1298720,1,1959,1,1
1071601,1,1992,1,1
1783709,1,1980,2,1
1384978,1,1964,2,1
844734,1,1974,1,1
1237218,1,1973,2,1
1382847,1,1959,2,1
976613,1,1992,2,1
635712,1,1982,2,1
1095177,1,1998,2,1
451755,1,1956,1,1
390513,1,1962,1,1
492539,1,1964,2,1
483790,1,1997,2,1
1565872,1,2008,2,1
9272,1,1981,1,1
1132375,1,1936,1,1
1439422,1,1962,2,1
1175040,1,2008,2,1
1401417,1,1943,2,1
1465602,1,2009,1,1
532322,1,1989,2,1
629985,1,1981,2,1
1390841,1,1967,2,1
917118,1,1961,1,1
1503524,1,1986,1,1
1578594,1,2005,1,1
873656,1,1961,1,1
1786046,1,2010,1,1
1658727,1,1976,1,1
324433,1,1989,2,1
227022,1,1998,2,1
1130040,1,1955,1,1
141915,1,1943,2,1
881254,1,1970,1,1
824604,1,1987,2,1
1636311,1,1966,2,1
1822393,1,2003,1,1
1694312,1,1983,1,1
1877864,1,1942,1,1
88209,1,2002,2,1
396035,1,1990,2,1
162251,1,1962,1,1
1003976,1,2010,2,1
731810,1,2010,2,1
1337099,1,1998,2,1
921115,1,2010,1,1
183413,1,1960,2,1
505675,1,1948,1,1
41926,1,1949,2,1
1177251,1,1938,2,1
677737,1,2009,1,1
869880,1,1966,2,1
886445,1,1954,2,1
1018071,1,1984,1,1
274168,1,1993,1,1
740621,1,1936,2,1
1498635,1,1978,2,1
1705619,1,1958,2,1
1484097,1,1953,2,1
1061301,1,1951,1,1
971787,1,1993,1,1
704328,1,1993,1,1
127125,1,1935,1,1
1245293,1,1991,1,1
142005,1,2010,2,1
1034078,1,1986,1,1
707317,1,1966,1,1
947634,1,1935,1,1
962062,1,1961,2,1
106509,1,1993,1,1
556143,1,1948,1,1
1783058,1,2004,2,1
469314,1,1998,1,1
203821,1,1957,1,1
625756,1,2010,1,1
1728379,1,1981,1,1
966534,1,2001,2,1
1065785,1,2010,2,1
859814,1,1949,2,1
231652,1,1965,1,1
23136,1,1992,2,1
249067,1,1954,1,1
1233638,1,1959,1,1
375502,1,2010,2,1
477812,1,2001,1,1
1576522,1,1981,1,1
1698984,1,2004,2,1
185165,1,1994,1,1
1140587,1,1967,2,1
1358178,1,1974,1,1
1574426,1,1967,1,1
297721,1,2010,2,1
1842631,1,1998,2,1
1909307,1,1988,1,1
445639,1,2007,2,1
1166295,1,1955,1,1
1234638,1,1980,2,1
1224242,1,1968,1,1
1273494,1,2010,1,1
483925,1,2010,2,1
888852,3,0000,0,0
277356,1,1958,1,1
1145164,1,1965,1,1
1727214,1,1973,1,1
1893314,1,1953,2,1
1120812,1,1995,1,1
1865062,1,1969,1,1
833987,1,1999,1,1
481903,1,1935,2,1
1288868,1,2001,1,1
525573,1,1984,1,1
696118,1,1960,1,1
571387,1,2010,1,1
402740,1,1944,2,1
174581,1,1987,1,1
1736092,1,2003,2,1
1065989,1,1981,1,1
232152,1,1978,2,1
1242247,1,2002,2,1
1140992,1,1979,1,1
654375,1,1944,2,1
1390612,1,1945,2,1
525459,1,1994,2,1
1145221,1,2010,2,1
1307711,1,1955,1,1
516971,1,1948,1,1
1692950,1,2003,2,1
476647,1,1971,2,1
890511,1,2010,1,1
1208104,3,0000,0,0
892489,1,2010,2,1
1293587,1,1980,2,1
1785493,1,1961,1,1
799551,1,2010,2,1
1263945,1,1991,2,1
231208,1,1980,2,1
508658,1,1988,2,1
534754,1,1960,1,1
1408970,1,1996,2,1
1549928,1,2007,2,1
891219,1,2000,1,1
852522,3,0000,0,0
78135,1,1971,2,1
1580831,1,1939,1,1
982434,1,1980,2,1
250115,1,1975,2,1
1544982,1,1959,2,1
288684,1,1954,1,1
1061032,1,1986,2,1
1037667,1,1962,2,1
392243,1,1980,2,1
1296331,1,2010,2,1
1173093,1,1950,1,1
62214,1,1979,1,1
888661,1,1990,1,1
360740,1,1975,1,1
1442661,1,1983,2,1
642189,1,1959,2,1
1700687,1,2010,1,1
498206,1,1990,1,1
933010,1,1954,2,1
1052214,1,1997,1,1
1727293,1,1991,1,1
615534,1,1966,1,1
1841009,1,1998,2,1
1748730,1,1951,1,1
1883786,1,1977,2,1
154074,1,1986,1,1
1669207,1,1967,1,1
1598346,1,1999,2,1
1698030,1,1976,1,1
591092,1,1989,1,1
1088238,1,1987,1,1
864505,1,1969,1,1
1310106,1,1962,2,1
974190,1,1986,1,1
1060237,1,2010,2,1
259470,1,2010,2,1
769580,1,1980,1,1
736812,1,1962,2,1
1624505,1,1968,2,1
1380802,1,1965,2,1
1800862,1,2003,2,1
1958151,1,1992,2,1
45320,1,1947,2,1
787330,1,1962,2,1
1492615,1,1983,2,1
1892889,1,1978,1,1
391756,1,2008,2,1
533829,1,1939,1,1
1252646,1,1963,2,1
717128,1,1937,1,1
1448213,1,1944,2,1
1395411,1,1989,1,1
250733,1,1957,2,1
1656504,1,1947,1,1
1282530,1,1988,1,1
1270559,3,0000,0,0
567747,1,1990,2,1
82563,1,1957,1,1
1359497,1,1953,2,1
1386802,1,1997,1,1
576987,1,1962,1,1
1712933,1,2010,2,1
1959307,1,1969,2,1
1207112,1,1975,2,1
1510447,1,1994,2,1
1175755,1,1948,2,1
750399,1,1944,2,1
1460688,1,2010,1,1
1484013,1,1945,2,1
1191149,1,1955,1,1
254634,1,1961,2,1
962013,1,1978,1,1
90082,1,1991,1,1
1309768,1,2010,1,1
245695,1,2009,1,1
1949668,1,2004,2,1
999509,1,1979,1,1
139462,1,1944,2,1
971021,1,1978,1,1
1074319,1,1954,2,1
1760459,1,1959,2,1
81972,1,1964,2,1
575618,1,1940,2,1
1170396,1,2010,2,1
787947,1,1982,2,1
755582,1,1976,2,1
959438,1,2004,1,1
436742,1,1964,1,1
1847612,1,2010,2,1
427656,3,0000,0,0
295921,1,1965,2,1
197497,1,1957,2,1
157498,1,1997,1,1
1507650,1,1959,2,1
601986,1,1983,1,1
1806733,1,1977,2,1
1935689,1,1983,1,1
515377,1,1973,1,1
1161146,1,1942,1,1
1483798,1,1951,1,1
1711149,1,1967,1,1
1364977,1,1958,1,1
1456144,3,0000,0,0
516373,1,1994,2,1
126200,1,1962,1,1
1111710,1,1985,1,1
190247,1,2010,2,1
422811,1,1996,2,1
1488982,1,1953,1,1
1438725,1,1965,2,1
516772,1,1997,1,1
1551197,1,1989,1,1
530455,1,1978,1,1
648561,1,1947,1,1
1765626,1,1994,2,1
1384145,3,0000,0,0
1007786,1,1986,2,1
571431,1,1959,1,1
1044541,1,1955,2,1
708136,1,2010,1,1
280977,1,1993,2,1
601178,3,0000,0,0
38677,1,1956,1,1
242895,1,2004,2,1
1748288,1,1954,1,1
1521774,1,1980,2,1
1904669,1,1985,2,1
1885579,1,1935,2,1
187045,1,2000,1,1
612704,1,1996,2,1
1179559,1,1977,2,1
862253,1,2010,1,1
1484278,1,2010,2,1
1179032,1,2010,1,1
1536268,1,1965,2,1
1478855,1,1986,1,1
618606,1,1935,2,1
1003481,1,1968,1,1
21754,1,2010,1,1
194019,1,2002,2,1
690301,1,1967,2,1
1355647,1,1955,2,1
1099834,1,2010,2,1
1122582,1,1966,2,1
789391,1,1951,2,1
354997,1,1991,2,1
1305308,1,2009,1,1
1257579,1,2006,2,1
1854114,1,1935,1,1
1398496,1,1950,1,1
1572080,1,1981,1,1
1212017,1,1970,2,1
356736,1,1962,1,1
1798844,1,1987,2,1
345447,1,1998,1,1
1037314,1,1989,1,1
180822,1,1952,2,1
978613,1,1995,1,1
1812914,1,1947,2,1
1481799,1,2006,2,1
882884,1,2010,1,1
1113509,1,1985,2,1
52486,1,1948,1,1
1645208,1,1944,2,1
1065090,1,2008,2,1
438243,1,1970,2,1
1807825,1,1983,2,1
1289277,1,2010,1,1
897186,1,1990,2,1
1097883,1,1979,1,1
947764,1,2006,1,1
1304043,1,1936,2,1
58198,1,1984,1,1
220942,1,1970,2,1
1464268,1,1990,2,1
1474240,1,1968,2,1
25660,1,1976,2,1
78535,1,1954,2,1
1904033,1,2009,1,1
1385568,1,1969,2,1
475037,1,1998,2,1
189110,1,1959,2,1
1478313,1,1957,1,1
1122770,1,1961,1,1
224598,1,1993,1,1
1856972,1,1983,2,1
51878,1,1952,2,1
1649463,1,2008,2,1
1446011,1,1977,1,1
579150,1,1993,2,1
1611383,1,1961,1,1
1572644,1,1956,1,1
491970,1,1942,2,1
1688036,1,2000,1,1
1490473,1,1942,2,1
157076,1,1980,1,1
1373998,1,1977,2,1
883155,1,2010,1,1
223460,1,1949,2,1
473065,1,1998,2,1
347149,1,1995,2,1
921729,1,2010,1,1
704195,1,1951,2,1
1623649,1,1976,1,1
1819931,1,1968,1,1
1708536,1,1964,2,1
1789524,1,1979,2,1
305506,1,1983,2,1
811380,1,2002,2,1
118195,1,2002,2,1
553565,1,1965,2,1
586156,1,1970,2,1
1925164,1,2010,1,1
709296,1,1997,2,1
141869,1,1985,2,1
177447,1,1959,2,1
1400509,1,1984,1,1
1952628,3,0000,0,0
69087,1,1984,1,1
997625,1,1987,2,1
1636877,1,1968,1,1
1043711,1,1997,1,1
717168,1,2010,1,1
137499,1,2003,1,1
518019,1,1975,1,1
81889,1,1983,1,1
737996,1,2010,1,1
1234534,1,2002,1,1
497113,1,1998,1,1
686602,1,1970,1,1
1559668,1,2002,1,1
748242,1,1961,1,1
1119326,1,2002,2,1
652193,1,1940,2,1
959741,1,1998,2,1
252782,1,1958,2,1
327233,1,1962,2,1
1653147,1,2007,2,1
769459,1,2001,2,1
1145135,1,1957,2,1
1915784,1,1978,1,1
894462,1,1977,1,1
746004,1,2010,1,1
1377248,1,2006,2,1
1716150,1,1964,1,1
97583,1,1965,2,1
428375,1,1967,2,1
100041,1,1973,1,1
578183,1,1944,2,1
1376270,1,1959,1,1
203460,1,1949,2,1
1324005,1,1993,1,1
867184,1,1975,2,1
88817,1,1964,2,1
912648,1,1980,2,1
686850,1,1987,2,1
1698418,1,1996,1,1
182176,1,1957,2,1
437339,1,2010,2,1
727779,1,1983,2,1
1867359,1,2010,1,1
1378983,1,1988,2,1
1596537,1,2010,2,1
1766863,1,1963,1,1
597307,1,1957,1,1
1864848,1,2009,2,1
1197961,1,1995,1,1
675993,1,1935,2,1
540194,1,1983,2,1
480943,1,1999,2,1
1152619,1,1996,2,1
69094,1,1999,1,1
247079,1,1982,2,1
325466,1,1941,1,1
1800919,1,1999,2,1
1416301,1,1935,2,1
262642,1,2010,1,1
533845,1,2000,2,1
1485886,1,1968,1,1
306285,1,1935,1,1
1708863,1,1966,1,1
336333,1,2010,2,1
1032188,1,1960,2,1
85837,1,1974,2,1
652471,1,1985,1,1
1796543,1,2010,2,1
784454,1,1942,1,1
605016,1,1995,1,1
1360247,1,1988,2,1
128158,3,0000,0,0
1614374,1,1966,2,1
1045049,1,1942,1,1
1444785,1,1989,2,1
1502960,3,0000,0,0
90000,1,2010,1,1
14304,1,1954,1,1
1542387,1,1950,2,1
1687380,1,1991,1,1
1136748,1,2000,1,1
1794593,1,1961,2,1
1105139,1,2010,2,1
1798262,1,1997,2,1
964451,1,1935,2,1
816431,1,1952,1,1
1080457,1,1989,1,1
1614745,1,1970,2,1
1729047,1,1947,2,1
1786558,1,1946,1,1
264868,1,2001,1,1
1282355,1,1935,1,1
1375397,1,1954,1,1
1630721,1,2010,1,1
1470110,1,1999,2,1
