JOIN_SN,JOIN_SN_TYP,BIZ_SN,BIZ_TYP_CD,BIZ_GIS_CD
662398,1,53450,0000,24
1915465,1,36904,5000,21
908960,1,17176,4000,31
49947,1,80329,0000,31
1268228,1,167480,5000,25
1073430,3,112817,4000,39
936360,1,20897,0000,99
1399641,1,77413,5000,34
861188,1,86467,0000,11
1283810,1,16474,1000,31
857735,3,146016,4000,11
1381198,3,66934,4000,36
729637,1,130258,2000,23
605980,1,183581,2000,38
1537712,1,150131,7000,11
1014534,1,124449,6000,31
778452,3,134927,2000,37
1533155,1,104281,4000,21
1275870,3,76318,2000,23
428901,1,91616,2000,31
604426,3,187211,7000,11
1171606,1,139812,4000,22
1912220,1,75801,4000,11
488843,1,152553,5000,38
1738499,1,170220,4000,34
654560,1,163674,6000,26
875139,1,87811,4000,34
751584,1,181922,6000,11
591947,1,136820,0000,11
1051301,1,131784,2000,31
282491,1,58408,9000,99
261017,1,20559,4000,31
1630976,3,172725,2000,31
712541,1,71773,0000,11
1436952,1,190516,5000,11
405385,1,52123,1000,11
894152,1,45519,2000,31
1074535,1,171882,5000,32
1084980,1,140387,1000,38
927246,1,12727,4000,38
311918,3,78293,4000,31
1440395,1,144525,0000,36
1413272,1,45612,4000,23
127623,1,117473,9000,35
1257837,1,51833,4000,11
1554267,1,94492,0000,21
864441,1,169455,4000,11
220077,1,134643,6000,31
1752693,1,175793,0000,31
1828669,1,173991,6000,31
1684032,3,123867,4000,11
1090581,1,123253,0000,11
1156276,1,17014,0000,31
210882,3,174288,1000,24
413984,1,38616,6000,11
219169,1,44308,7000,11
1909778,1,124764,6000,38
798349,1,111588,5000,11
1751988,1,91291,6000,31
409011,1,155062,5000,22
1902873,3,44336,6000,11
822611,1,117397,6000,11
1065239,1,9479,4000,32
989677,1,102773,2000,31
1477907,1,14802,6000,31
74913,1,83778,1000,11
1282417,1,24993,6000,11
1915469,1,192118,0000,36
1418084,1,50680,9000,35
1740022,1,4109,5000,11
588147,1,59328,9000,23
459121,1,189761,9000,11
415672,1,57017,4000,37
474934,1,48041,0000,22
989988,1,157554,8000,33
1297760,1,109542,2000,22
1212840,1,171674,9000,21
711788,1,5044,4000,25
1895734,3,190754,4000,11
1728396,1,187913,0000,23
616575,1,62139,9000,38
1610144,1,136568,5000,11
504676,1,106864,7000,11
1955954,1,22142,4000,21
1644822,1,123595,6000,99
1206031,1,193001,7000,24
595115,1,33508,7000,11
808746,1,24862,4000,11
1419166,1,174961,4000,31
1871348,1,72027,7000,99
1785466,1,177947,6000,11
803496,1,183568,4000,37
1189579,1,119399,9000,39
621127,3,115996,4000,38
1912103,1,71983,4000,33
653041,1,110266,5000,26
1082557,1,119056,5000,33
1196940,1,73551,4000,25
1582974,1,50695,5000,36
1189310,1,127382,6000,31
554859,3,123633,2000,32
465460,1,47118,9000,99
1326721,3,172353,6000,23
1102589,1,57437,4000,11
1047509,1,44484,4000,36
33637,1,57528,4000,33
735840,1,110546,9000,38
1387912,3,149542,0000,31
1341153,1,17855,4000,25
199530,1,115303,4000,36
168236,1,17146,9000,38
1322711,1,117744,4000,23
922829,3,188272,6000,22
1536076,1,131981,4000,35
1745438,1,61024,6000,24
1953922,1,175606,4000,37
1370681,1,137521,0000,36
1072977,1,89293,0000,36
1029451,1,96294,4000,35
202093,1,7427,9000,37
1601168,1,185932,5000,11
1601853,1,133027,0000,23
180996,3,132466,2000,34
1413824,1,67876,9000,11
1718936,1,110219,5000,34
411113,1,95230,9000,34
678773,1,65357,9000,22
1782391,1,124348,5000,11
1734652,1,174026,0000,25
748713,3,74727,3000,11
1136026,1,89834,1000,11
563950,1,56924,9000,32
1073078,1,100533,1000,39
822611,1,183065,8000,31
160707,1,113733,4000,11
949852,1,165843,3000,31
706161,1,71147,9000,31
1699387,1,113540,5000,21
1437772,1,183395,4000,31
1856204,1,60757,4000,35
1914135,1,191965,9000,22
1114292,3,133485,5000,11
1226106,1,49882,4000,31
490967,3,67622,2000,99
253927,1,33820,9000,31
1841731,3,2227,2000,31
1390609,1,79982,8000,21
781169,1,188522,9000,24
1371494,1,126380,6000,11
1797215,1,140909,9000,11
1123652,1,170989,5000,37
135575,3,43724,4000,31
1810590,1,194251,0000,22
1794871,1,179918,0000,22
1281325,1,176345,4000,22
618474,1,74910,7000,22
1626475,1,98280,4000,31
1743349,3,174897,9000,23
399671,1,22367,6000,31
1460135,1,79129,0000,31
919161,1,128393,5000,11
1191712,3,87775,4000,11
1715912,1,172097,0000,24
471088,1,189238,5000,31
1173610,3,8347,2000,11
54092,1,160212,4000,25
25305,3,107459,4000,38
1030645,1,72954,4000,34
1315799,3,1785,9000,31
1332997,1,133697,9000,38
1682825,1,53572,9000,31
1381061,1,138580,0000,31
11903,1,123241,4000,33
732684,1,158403,3000,35
840215,1,102626,6000,11
1386828,1,57547,6000,31
67340,1,6753,0000,23
1570902,1,179486,9000,35
1732432,3,42420,5000,35
1326034,1,90077,4000,38
376241,1,103045,2000,31
954245,1,184000,6000,11
1255765,1,96450,6000,38
1281325,1,40009,4000,22
284049,1,154494,4000,99
1157829,1,116232,1000,22
1816957,1,43554,4000,11
1098474,1,110371,0000,35
704477,3,174565,4000,31
1544827,1,155055,0000,35
499991,1,25276,4000,31
941161,1,133673,4000,23
329412,1,29267,4000,11
1100568,1,73047,5000,33
1410602,1,141574,9000,34
1906479,1,77494,3000,11
856546,3,120276,4000,39
1718451,1,175038,3000,26
1919019,1,191297,4000,22
160111,1,101820,1000,36
436127,1,44180,9000,36
623363,1,34827,5000,38
1309340,1,131349,9000,24
1612222,1,29939,9000,37
823772,3,81810,4000,34
1221560,1,181846,9000,11
1916092,1,138882,4000,21
654553,1,26463,6000,11
1584657,1,177332,4000,37
145011,1,33164,2000,11
706161,1,64017,2000,31
1013156,1,119082,4000,11
792557,1,121461,5000,37
1260037,1,126560,0000,39
673616,3,161369,4000,32
703566,1,174584,9000,37
1457502,1,146237,0000,31
1792136,1,135272,6000,31
1083283,3,108844,9000,31
101319,1,10298,0000,25
984631,1,82729,5000,32
572646,3,148160,5000,11
474092,1,112313,6000,11
1126662,3,36459,5000,11
1443563,1,7892,6000,31
257478,1,67873,9000,23
1257417,3,128026,0000,11
1507107,1,84909,4000,22
183610,1,32067,4000,11
1717467,3,87364,2000,11
343550,1,62497,4000,21
1184545,1,116245,7000,11
1344651,1,74611,4000,99
1514586,1,137748,8000,32
1706463,1,148188,4000,34
1594127,1,18415,5000,11
1384145,3,111411,4000,24
959697,1,96263,0000,34
759672,1,19409,4000,31
1484966,3,195881,6000,11
1318507,1,132286,6000,99
543896,3,73386,7000,11
954364,1,184503,6000,31
1197433,1,81766,2000,31
979304,1,53856,7000,11
764074,1,76866,0000,35
404782,1,163240,7000,11
1169034,1,78670,6000,39
668987,1,123717,9000,11
1195556,1,121549,5000,11
408929,1,57866,9000,31
606611,1,5709,4000,23
573468,3,54149,4000,11
44290,1,155326,8000,31
1302487,1,176282,4000,11
1312450,1,37531,6000,11
1675710,1,20469,0000,21
558252,1,91161,8000,21
1882669,3,55970,5000,11
1710279,1,179176,5000,25
1080530,3,102186,1000,23
1393901,1,139868,0000,21
907367,1,105513,4000,11
1558557,1,53708,9000,31
1475750,3,138042,2000,31
956380,1,87599,4000,38
689011,1,174606,4000,11
803400,1,161180,2000,21
988122,1,99129,0000,21
1472718,1,101635,3000,11
1713211,1,171810,9000,23
609679,1,143430,5000,23
1005796,1,97048,4000,31
613583,1,184239,7000,11
1053281,1,11738,4000,22
595720,3,109381,7000,11
427844,3,5816,7000,31
1770472,1,147345,2000,31
1291675,1,164354,5000,31
489851,1,54350,8000,25
1041447,1,167505,5000,11
1400232,1,120188,9000,37
1461431,1,146648,0000,23
492072,1,63378,6000,11
169018,3,30708,6000,11
1947535,1,195212,4000,11
1875897,3,116477,4000,36
626465,1,163856,4000,32
1696882,1,131736,2000,38
1394160,1,69906,5000,21
510119,1,51514,6000,37
1758517,1,19205,5000,31
1252468,3,51578,4000,11
1255319,3,70231,4000,38
1586375,1,8682,6000,11
812750,3,192601,2000,31
563950,1,64483,4000,32
1514709,1,103582,5000,11
469607,3,138801,8000,26
908002,1,117800,4000,31
381489,1,112317,4000,37
396111,1,14712,8000,32
1366537,1,109809,4000,34
21395,1,61383,3000,38
885739,1,88838,0000,11
798798,1,15570,5000,31
939693,1,6330,9000,31
1766262,1,162539,6000,38
1468211,1,77937,4000,11
700541,1,61109,9000,99
868558,1,105846,7000,11
1729385,3,72258,4000,11
795858,1,125287,4000,21
874104,3,130429,6000,24
666206,1,118821,9000,37
1571061,1,16070,0000,33
1559820,1,78550,5000,21
1738317,1,79137,4000,22
335556,3,90260,3000,31
1023969,1,63187,5000,31
1151803,1,8476,9000,99
189623,1,104043,5000,37
944547,1,132448,1000,11
365625,3,33824,5000,21
635127,1,63999,4000,38
1057138,3,51781,4000,24
668951,3,146022,2000,24
1198111,1,111828,6000,37
451646,3,45727,7000,11
502946,1,85023,4000,31
700541,1,123563,6000,21
711565,1,162751,5000,34
871762,1,38367,5000,26
816243,1,77250,9000,99
779049,1,186577,6000,31
1592495,3,155617,4000,11
1804429,1,180897,9000,22
957196,1,41128,5000,38
891774,3,60198,4000,31
637486,1,64245,9000,31
697296,1,8398,5000,11
613651,1,61842,0000,33
1326309,1,88908,4000,31
1102357,1,110750,6000,31
248290,1,179417,4000,99
591360,1,68863,4000,21
1271084,1,84432,4000,36
337441,1,78993,9000,37
1457019,3,146189,8000,36
228855,3,143982,2000,31
1874982,3,158507,4000,35
1904080,1,124446,9000,34
83938,1,181706,4000,11
39565,3,80401,7000,11
1584905,1,159048,9000,39
1845706,1,22647,7000,11
54410,1,29828,4000,31
1810823,1,83477,7000,38
477128,3,59307,0000,23
1941009,1,19605,2000,31
512850,1,112997,4000,35
1030620,3,102964,2000,31
1945354,1,185405,8000,31
216033,1,21943,9000,99
1404829,1,88885,2000,21
1512921,1,170620,4000,21
1019368,1,31426,5000,35
1374674,3,24113,6000,11
1038892,1,138474,2000,21
210007,1,55931,4000,11
1542532,1,191168,8000,11
846417,1,84964,0000,11
1221560,1,161324,9000,21
291144,3,149505,2000,38
681894,1,163373,5000,11
862930,1,57143,9000,38
1375452,1,36387,5000,11
64909,1,45174,6000,31
1077686,1,85323,1000,34
11759,1,133186,4000,36
1493363,1,174570,9000,32
872743,3,185311,4000,36
602801,1,181368,9000,11
1135620,1,154173,0000,99
1118017,3,18416,4000,11
354094,1,113515,4000,11
1477259,1,49362,3000,11
1439566,1,159309,4000,25
1479038,1,155974,2000,11
535859,1,5765,6000,23
248256,1,13851,9000,38
983278,1,135290,4000,24
1248953,1,70952,6000,11
993898,1,180658,4000,33
1683459,1,20197,6000,11
1518663,3,165196,9000,11
1575741,1,144808,0000,32
1415490,1,152473,8000,23
8157,3,36568,4000,11
1521373,1,155014,5000,21
720723,1,157400,4000,23
1922647,1,149386,5000,39
1209760,1,97572,9000,11
1286174,1,56203,5000,11
913671,1,171751,4000,31
1098051,1,6942,9000,22
1294229,1,102749,5000,11
1399350,1,140441,4000,11
125795,3,169199,4000,31
1834860,1,150213,0000,34
1453344,1,145856,6000,99
813668,1,70332,5000,25
1088914,1,56846,0000,31
1081501,1,108688,0000,32
1430584,1,94602,9000,32
1749618,1,175488,9000,11
101158,1,192182,4000,35
1503896,1,124079,4000,11
295948,1,11255,1000,23
252462,1,140103,1000,11
1286758,1,186254,4000,11
241414,1,61510,2000,11
938630,1,10602,4000,35
518578,1,174665,4000,31
922014,3,125409,6000,11
1397565,3,162542,4000,22
1335807,1,164979,1000,22
1959323,1,48694,4000,11
579203,1,19433,4000,31
1830282,1,40968,4000,11
1889205,1,104877,6000,11
689082,1,18932,4000,21
394759,1,61814,6000,34
930311,1,93327,6000,31
996893,1,43676,9000,31
1021098,1,20170,6000,11
490014,1,187624,0000,37
168236,1,18711,6000,38
42410,1,41925,4000,21
685675,3,122136,3000,31
125363,1,43519,4000,21
1144414,1,117810,0000,11
519736,1,58892,9000,99
483067,1,145734,0000,38
1959418,1,171437,4000,11
1139087,1,62925,5000,11
1103215,1,195846,5000,11
1129936,1,47920,5000,39
1505689,1,95890,6000,31
1027405,1,38669,4000,11
1075157,1,108078,6000,38
1077617,1,108314,9000,32
748092,1,118092,4000,11
1287540,1,32664,4000,39
337994,1,185817,7000,31
1505328,1,173953,5000,11
169289,3,29447,2000,11
1836755,1,19766,6000,24
923202,3,71777,4000,11
808010,1,159372,3000,11
1405785,1,143518,4000,31
749941,1,75504,6000,99
59101,1,148737,6000,23
1509884,1,63229,4000,31
568341,3,150316,9000,21
949230,3,116244,4000,11
849712,1,125788,4000,31
203906,3,110740,7000,39
1600815,1,18576,2000,11
468527,3,193025,4000,35
1452999,1,103927,1000,11
92904,1,174162,3000,11
1580204,1,144185,8000,21
1555314,1,110255,4000,31
1023213,3,105644,1000,31
1485440,1,161914,4000,38
1048370,1,61058,0000,23
1288809,3,124578,3000,31
183595,1,100781,1000,35
582405,1,103947,7000,11
957752,1,48787,6000,11
712723,3,166937,4000,24
560375,1,125944,2000,31
197803,1,52693,5000,39
281479,3,5340,7000,11
273563,1,97838,9000,25
572116,1,116868,9000,23
145769,1,122910,4000,38
888724,1,89116,9000,36
1471022,1,150143,4000,31
595755,3,11959,6000,21
1745591,1,175124,0000,21
542166,1,84416,9000,11
1229617,1,86325,9000,31
1219769,3,33480,9000,31
1327837,1,73675,4000,11
514419,3,75872,3000,24
315491,3,89268,2000,31
571385,1,183254,4000,11
896007,3,66522,2000,23
1189136,3,13699,2000,31
953584,1,16857,4000,33
300835,3,167358,7000,11
185887,1,55669,4000,31
528600,1,63003,0000,11
410040,1,41508,0000,38
1325382,1,74105,2000,23
1228571,1,123317,8000,22
566635,1,132937,2000,38
1025398,1,103014,9000,32
956828,1,95989,0000,31
1354528,1,71025,6000,31
948284,1,129122,3000,32
1468944,3,96367,4000,26
762355,1,76695,8000,37
919835,1,56023,6000,11
1117080,1,124277,5000,11
974773,1,34211,4000,31
1111395,1,144587,2000,11
1780646,1,158652,5000,31
1212254,1,51935,0000,21
1292296,1,118642,9000,23
1190381,1,82086,4000,11
1646237,3,25144,6000,21
864441,1,4728,4000,11
233600,3,34667,1000,11
1192640,1,32612,9000,31
1307711,1,170042,6000,11
1422839,1,103027,4000,22
1278662,1,91186,5000,22
1691816,1,124707,3000,33
782871,1,78703,4000,24
685739,1,4632,4000,23
741541,1,33479,2000,11
1635900,3,129375,4000,31
836905,3,147615,4000,24
949373,1,111684,4000,11
264829,3,150036,4000,11
1613325,1,127380,5000,35
1555180,1,156046,0000,39
682459,1,68763,9000,99
117595,3,110613,5000,11
66277,1,85629,6000,11
1924901,1,193011,0000,31
1882444,1,19198,4000,31
308357,1,106678,5000,31
1456144,3,37717,0000,11
1122417,1,95420,3000,26
1478544,1,73378,4000,11
1921831,1,192698,6000,35
488843,1,49364,0000,38
1582918,1,66376,4000,31
1515028,1,6453,5000,32
1179960,1,42906,0000,21
994573,1,94086,0000,33
1229376,1,133436,4000,31
1797889,1,31711,5000,24
716038,1,76106,5000,11
212801,1,164719,9000,11
1503522,3,73421,4000,31
742344,1,74750,0000,36
1884407,1,189035,0000,31
1957999,3,51751,4000,11
329858,1,80520,0000,24
1735983,1,148234,4000,38
155807,1,15851,6000,11
1898122,1,52238,5000,22
1902171,1,110018,4000,21
1823733,1,45887,4000,32
1568123,1,8346,6000,11
704786,1,128567,9000,31
973668,1,5403,2000,38
1760166,3,36233,2000,23
1631975,1,163686,9000,99
1580038,1,158552,9000,33
1274103,1,136639,4000,11
956427,1,183148,9000,21
1490745,1,67318,1000,31
1042683,1,104734,4000,33
1852048,1,169287,5000,31
883910,3,16331,0000,99
1814804,1,156588,8000,25
526469,1,102272,8000,11
1005614,1,10457,9000,35
931283,1,85068,4000,33
589203,3,75513,6000,99
366581,3,62321,9000,37
885766,1,121892,4000,36
186777,1,99674,5000,23
1852224,1,97825,4000,11
676967,1,149991,6000,31
1499914,1,150494,0000,22
1141518,3,139329,4000,35
521542,1,52630,9000,37
265169,1,133969,5000,31
98373,1,96019,5000,23
1805044,3,149997,4000,22
1166421,1,145513,4000,23
1663647,1,82331,4000,38
760672,1,62956,5000,39
1804329,1,180883,9000,21
288684,1,88972,4000,34
